"state","tn_killed","lat","long"
"alabama",1880,32.688053,-86.810585
"alaska",267,28.12768,-117.981766
"arizona",1094,34.255149,-111.62621
"arkansas",773,34.755883,-92.640559
"california",5562,36.531544,-119.586168
"colorado",796,38.996664,-105.547822
"connecticut",341,41.580163,-72.756629
"delaware",217,38.978849,-75.46014
"district of columbia",459,38.912097,-77.014683
"florida",3909,27.97762,-81.769611
"georgia",2456,32.53951,-83.380775
"hawaii",63,24.200987,-104.313994
"idaho",166,43.764877,-114.964267
"illinois",3409,40.265028,-89.191575
"indiana",1608,39.904493,-86.250281
"iowa",273,42.039943,-93.500069
"kansas",542,38.500327,-98.380429
"kentucky",1066,37.696825,-84.924095
"louisiana",2179,30.542601,-92.51441
"maine",112,45.243327,-69.171071
"maryland",1691,39.038828,-76.346717
"massachusetts",472,42.358752,-71.531484
"michigan",1588,43.924812,-84.633107
"minnesota",461,46.63636,-94.579641
"mississippi",1176,32.921921,-89.687118
"missouri",2136,38.353141,-92.747022
"montana",154,47.001265,-109.645406
"nebraska",225,41.499671,-99.810075
"nevada",799,39.440688,-116.598569
"new hampshire",88,43.644386,-71.586283
"new jersey",1168,39.66502,-74.738208
"new mexico",495,34.498624,-106.108278
"new york",1705,42.165726,-74.948051
"north carolina",2225,35.387362,-78.455056
"north dakota",69,47.471495,-100.469096
"ohio",2508,40.262259,-82.883453
"oklahoma",941,35.455622,-97.508021
"oregon",446,43.854178,-120.526709
"pennsylvania",2395,40.860198,-77.838617
"rhode island",63,41.587536,-71.514739
"south carolina",1610,33.702857,-80.627523
"tennessee",1824,35.820245,-86.343764
"texas",5046,31.030974,-98.326329
"utah",282,39.098999,-111.878816
"vermont",57,44.211857,-72.681238
"virginia",1459,37.73086,-78.376655
"washington",853,47.372269,-120.59234
"wisconsin",862,44.356004,-89.466198
"wyoming",73,43.001645,-107.55153
"south dakota",90,43.969515,-99.901813
"west virginia",335,38.597626,-80.454903
